"","Tissue","Stage","cell_type_with_cluster","count","prop"
"71","LIVER","No_fibrosis","CD56 high NK cells (C12)",405,0.0927622537792029
"72","LIVER","No_fibrosis","Fibroblasts (C13)",3,0.000687127805771874
"73","LIVER","No_fibrosis","Adipocytes_2 (C26)",4,0.000916170407695831
"74","LIVER","No_fibrosis","ACKR1 Endothelial cells (C9)",59,0.0135135135135135
"75","LIVER","No_fibrosis","TAGLN Endothelial cells (C16)",46,0.0105359596885021
"76","LIVER","No_fibrosis","Blood vessels (C6)",82,0.0187814933577645
"77","LIVER","No_fibrosis","Hepatocytes (C20)",115,0.0263398992212552
"78","LIVER","No_fibrosis","Liver Ductal cells (C18)",57,0.0130554283096656
"79","LIVER","No_fibrosis","Erythroid cells (C17)",317,0.0726065048098946
"80","LIVER","No_fibrosis","Mast cells (C15)",58,0.0132844709115896
"81","LIVER","No_fibrosis","Platelets (C28)",8,0.00183234081539166
"82","PBMC","Fibrosis","Naïve-Activated T cells (C1)",8028,0.29337816108756
"83","PBMC","Fibrosis","CD8 Effector Memory (C0)",398,0.0145446572138576
"84","PBMC","Fibrosis","CD8 Cytotoxic T cells (C4)",4707,0.172014325391025
"85","PBMC","Fibrosis","CD4 T cells (C7)",713,0.0260561321444233
"86","PBMC","Fibrosis","CD4 Proliferating T cells (C21)",127,0.00464113433708522
"87","PBMC","Fibrosis","Naïve B cells (C8)",2261,0.0826268089460605
"88","PBMC","Fibrosis","B cells (C27)",182,0.00665107440432685
"89","PBMC","Fibrosis","Plasma cells_1 (C19)",70,0.00255810554012571
"90","PBMC","Fibrosis","CD14 Monocytes (C3)",5182,0.189372898699021
"91","PBMC","Fibrosis","CD16 Monocytes (C11)",1640,0.0599327583686595
"92","PBMC","Fibrosis","Macrophage (C5)",22,0.000803976026896653
"93","PBMC","Fibrosis","Myeloid Dendritic cells (C10)",249,0.00909954684987575
"94","PBMC","Fibrosis","Plasmacytoid dendritic cells (C22)",90,0.00328899283730449
"95","PBMC","Fibrosis","TREM2 Dendritic cells (C23)",12,0.000438532378307265
"96","PBMC","Fibrosis","Neutrophil (C14)",172,0.00628563075573747
"97","PBMC","Fibrosis","CD56 dim NK cells (C2)",2787,0.101849144861862
"98","PBMC","Fibrosis","CD56 high NK cells (C12)",129,0.0047142230668031
"99","PBMC","Fibrosis","Fibroblasts (C13)",51,0.00186376260780588
"100","PBMC","Fibrosis","Mesothelial cells (C24)",2,7.30887297178775e-05
"101","PBMC","Fibrosis","Adipocytes_2 (C26)",1,3.65443648589388e-05
"102","PBMC","Fibrosis","ACKR1 Endothelial cells (C9)",13,0.000475076743166204
"103","PBMC","Fibrosis","TAGLN Endothelial cells (C16)",23,0.000840520391755591
"104","PBMC","Fibrosis","Blood vessels (C6)",16,0.00058470983774302
"105","PBMC","Fibrosis","Erythroid cells (C17)",247,0.00902645812015787
"106","PBMC","Fibrosis","Mast cells (C15)",147,0.005372021634264
"107","PBMC","Fibrosis","Platelets (C28)",95,0.00347171466159918
"108","PBMC","Healthy","Naïve-Activated T cells (C1)",463,0.36087295401403
"109","PBMC","Healthy","CD8 Effector Memory (C0)",22,0.0171473109898675
"110","PBMC","Healthy","CD8 Cytotoxic T cells (C4)",86,0.0670303975058457
"111","PBMC","Healthy","CD4 T cells (C7)",38,0.029618082618862
"112","PBMC","Healthy","CD4 Proliferating T cells (C21)",23,0.0179267342166797
"113","PBMC","Healthy","Naïve B cells (C8)",102,0.0795011691348402
"114","PBMC","Healthy","B cells (C27)",3,0.00233826968043648
"115","PBMC","Healthy","Plasma cells_1 (C19)",38,0.029618082618862
"116","PBMC","Healthy","CD14 Monocytes (C3)",284,0.221356196414653
"117","PBMC","Healthy","CD16 Monocytes (C11)",18,0.0140296180826189
"118","PBMC","Healthy","Myeloid Dendritic cells (C10)",18,0.0140296180826189
"119","PBMC","Healthy","Plasmacytoid dendritic cells (C22)",8,0.00623538581449727
"120","PBMC","Healthy","Neutrophil (C14)",9,0.00701480904130943
"121","PBMC","Healthy","CD56 dim NK cells (C2)",38,0.029618082618862
"122","PBMC","Healthy","CD56 high NK cells (C12)",2,0.00155884645362432
"123","PBMC","Healthy","Fibroblasts (C13)",49,0.0381917381137958
"124","PBMC","Healthy","Adipocytes_1 (C25)",1,0.000779423226812159
"125","PBMC","Healthy","ACKR1 Endothelial cells (C9)",5,0.00389711613406079
"126","PBMC","Healthy","TAGLN Endothelial cells (C16)",16,0.0124707716289945
"127","PBMC","Healthy","Blood vessels (C6)",16,0.0124707716289945
"128","PBMC","Healthy","Erythroid cells (C17)",16,0.0124707716289945
"129","PBMC","Healthy","Mast cells (C15)",17,0.0132501948558067
"130","PBMC","Healthy","Platelets (C28)",11,0.00857365549493375
"131","PBMC","No_fibrosis","Naïve-Activated T cells (C1)",1618,0.318441251722102
"132","PBMC","No_fibrosis","CD8 Effector Memory (C0)",17,0.00334579807124582
"133","PBMC","No_fibrosis","CD8 Cytotoxic T cells (C4)",536,0.105491045069868
"134","PBMC","No_fibrosis","CD4 T cells (C7)",187,0.036803778783704
"135","PBMC","No_fibrosis","CD4 Proliferating T cells (C21)",20,0.00393623302499508
"136","PBMC","No_fibrosis","Naïve B cells (C8)",506,0.0995866955323755
"137","PBMC","No_fibrosis","B cells (C27)",21,0.00413304467624483
"138","PBMC","No_fibrosis","Plasma cells_1 (C19)",14,0.00275536311749656
"139","PBMC","No_fibrosis","CD14 Monocytes (C3)",1324,0.260578626254674
"140","PBMC","No_fibrosis","CD16 Monocytes (C11)",275,0.0541232040936823
"141","PBMC","No_fibrosis","Myeloid Dendritic cells (C10)",48,0.00944695925998819
"142","PBMC","No_fibrosis","Plasmacytoid dendritic cells (C22)",15,0.00295217476874631
"143","PBMC","No_fibrosis","Neutrophil (C14)",30,0.00590434953749262
"144","PBMC","No_fibrosis","CD56 dim NK cells (C2)",435,0.085613068293643
"145","PBMC","No_fibrosis","CD56 high NK cells (C12)",14,0.00275536311749656
"146","PBMC","No_fibrosis","Fibroblasts (C13)",1,0.000196811651249754
"147","PBMC","No_fibrosis","Mast cells (C15)",8,0.00157449320999803
"148","PBMC","No_fibrosis","Platelets (C28)",12,0.00236173981499705
"149","SAT","Fibrosis","Naïve-Activated T cells (C1)",193,0.0141298777362911
"150","SAT","Fibrosis","CD8 Effector Memory (C0)",2702,0.197818288308075
"151","SAT","Fibrosis","CD8 Cytotoxic T cells (C4)",189,0.0138370305293213
"152","SAT","Fibrosis","CD4 T cells (C7)",604,0.0442199282524343
"153","SAT","Fibrosis","CD4 Proliferating T cells (C21)",85,0.00622300314810747
"154","SAT","Fibrosis","Naïve B cells (C8)",163,0.0119335236840179
"155","SAT","Fibrosis","B cells (C27)",7,0.000512482612197086
"156","SAT","Fibrosis","Plasma cells_1 (C19)",50,0.00366059008712204
"157","SAT","Fibrosis","CD14 Monocytes (C3)",407,0.0297972033091734
"158","SAT","Fibrosis","CD16 Monocytes (C11)",489,0.0358005710520536
"159","SAT","Fibrosis","Macrophage (C5)",1940,0.142030895380335
"160","SAT","Fibrosis","Myeloid Dendritic cells (C10)",710,0.051980379237133
"161","SAT","Fibrosis","Plasmacytoid dendritic cells (C22)",60,0.00439270810454645
"162","SAT","Fibrosis","TREM2 Dendritic cells (C23)",381,0.02789369646387
"163","SAT","Fibrosis","Neutrophil (C14)",206,0.0150816311589428
"164","SAT","Fibrosis","CD56 dim NK cells (C2)",686,0.0502232959953144
"165","SAT","Fibrosis","CD56 high NK cells (C12)",193,0.0141298777362911
"166","SAT","Fibrosis","Fibroblasts (C13)",764,0.0559338165312248
"167","SAT","Fibrosis","Mesothelial cells (C24)",16,0.00117138882787905
