"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"84",0,1.0746705066857,0.99,0.94,0,"8","Hu.CD26"
"85",0,1.04949406829406,0.968,0.919,0,"8","Hu.CD161"
"86",5.26802392671924e-269,0.559939249186136,0.956,0.928,6.84843110473501e-267,"8","Hu.CD127"
"87",1.50692106678842e-235,1.05602646378229,0.844,0.679,1.95899738682495e-233,"8","Hu.CD196"
"88",8.1516708963812e-224,1.18421951753299,0.735,0.475,1.05971721652956e-221,"8","Hu.CD8"
"89",1.84588781614814e-144,0.558036189322721,0.966,0.924,2.39965416099258e-142,"8","Hu.CD2"
"90",1.56457841292218e-18,0.534020643543535,0.828,0.83,2.03395193679884e-16,"8","Hu.CD69"
"91",6.59574078794335e-63,-0.312885144884944,0.971,0.968,8.57446302432635e-61,"9","Hu.CD29"
"92",1.54938287025154e-43,0.366868807058817,0.951,0.92,2.014197731327e-41,"9","Hu.IgM"
"93",1.25218531445587e-41,0.336042966178513,0.921,0.935,1.62784090879264e-39,"9","Hu.CD24"
"94",6.90044848959683e-35,0.72357020210513,0.876,0.88,8.97058303647588e-33,"9","Hu.CD16"
"95",1.39232373309244e-22,-0.299318699156482,0.917,0.916,1.81002085302017e-20,"9","Hu.CD49d"
"96",5.58918223756816e-21,0.290884589074265,0.779,0.789,7.26593690883861e-19,"9","Hu.LOX.1"
"97",1.01820267297457e-20,-0.27606558924184,0.925,0.948,1.32366347486694e-18,"9","Hu.CD45RA"
"98",2.62055303706879e-16,-0.27549816891793,0.911,0.903,3.40671894818943e-14,"9","Hu.CD52"
"99",1.34950634533831e-07,-0.300864552892667,0.741,0.769,1.75435824893981e-05,"9","Hu.CD40"
"100",0.00553484109415621,-0.281405973819134,0.707,0.719,0.719529342240307,"9","Hu.CD49b"
"101",0,3.08846997028409,0.987,0.552,0,"10","Hu.CD146"
"102",0,2.37024981629883,0.952,0.556,0,"10","Hu.CD36"
"103",0,1.48305424712096,0.947,0.712,0,"10","Hu.CD49b"
"104",0,1.48164574486064,0.99,0.757,0,"10","Hu.HLA.DR"
"105",0,1.45503413733987,0.99,0.793,0,"10","Hu.CD73"
"106",0,1.89656984335153,1,0.814,0,"10","Hu.CD49a"
"107",0,1.27735526488622,0.999,0.9,0,"10","Hu.CD141"
"108",0,1.18234519215377,1,0.931,0,"10","Hu.CD112"
"109",8.06586415751936e-276,1.34813979601491,0.965,0.635,1.04856234047752e-273,"10","Hu.CD39"
"110",1.69341576079153e-230,2.07970652840076,0.893,0.597,2.20144048902899e-228,"10","Hu.CD62P"
"111",0,1.31579997927712,0.876,0.416,0,"11","Hu.CD33"
"112",0,1.99792985775306,0.955,0.529,0,"11","Hu.CD86"
"113",0,1.89290568959598,0.951,0.556,0,"11","Hu.CD36"
"114",0,1.7591655656812,0.984,0.634,0,"11","Hu.CD39"
"115",0,2.016280682506,0.999,0.757,0,"11","Hu.HLA.DR"
"116",0,1.61517333863194,0.992,0.79,0,"11","Hu.CD32"
"117",0,1.42139297075359,0.971,0.834,0,"11","Hu.CD71"
"118",2.84744804816783e-304,1.23656124334221,0.913,0.554,3.70168246261818e-302,"11","Hu.CD146"
"119",1.0713101940727e-289,1.09833175276907,0.96,0.759,1.39270325229451e-287,"11","Hu.CD163"
"120",4.00250582466506e-265,1.44684467457615,0.936,0.614,5.20325757206458e-263,"11","Hu.CD11c"
"121",0,1.49267000955064,0.905,0.531,0,"12","Hu.CD86"
"122",0,1.95358599110057,0.972,0.614,0,"12","Hu.CD11c"
"123",0,1.8408465306823,0.991,0.681,0,"12","Hu.CLEC12A"
"124",0,1.20357602090049,0.972,0.808,0,"12","Hu.CD123"
"125",2.31867320942468e-304,1.21914511183213,0.993,0.817,3.01427517225208e-302,"12","Hu.CD31"
"126",3.74081023832051e-294,0.917186916020956,0.989,0.79,4.86305330981667e-292,"12","Hu.CD32"
"127",2.72636889748016e-289,1.00056252223568,0.978,0.758,3.54427956672421e-287,"12","Hu.HLA.DR"
"128",4.21404295003495e-256,1.29012030351173,0.832,0.418,5.47825583504544e-254,"12","Hu.CD33"
"129",1.12844619502249e-225,0.932909031843621,0.923,0.701,1.46698005352923e-223,"12","Hu.CD13"
"130",4.6673023726377e-207,0.981961075548325,0.973,0.877,6.06749308442902e-205,"12","Hu.CD16"
"131",0,1.87381371014582,0.956,0.617,0,"13","Hu.CD11c"
"132",0,2.57790950080643,0.9,0.646,0,"13","Hu.CD1c"
"133",0,1.54720862653011,0.988,0.759,0,"13","Hu.HLA.DR"
"134",1.17504357606096e-247,1.47748827234163,0.956,0.684,1.52755664887925e-245,"13","Hu.CLEC12A"
"135",2.42360690154585e-226,1.40621718175387,0.918,0.639,3.15068897200961e-224,"13","Hu.CD39"
"136",1.81108584830289e-217,1.74614081964963,0.8,0.421,2.35441160279376e-215,"13","Hu.CD33"
"137",4.24688284144098e-208,1.14173952825784,0.949,0.756,5.52094769387327e-206,"13","Hu.FceRIa"
"138",9.32273107276008e-150,0.831161965443416,0.95,0.836,1.21195503945881e-147,"13","Hu.CD71"
"139",1.95585940784656e-141,0.937105953262547,0.959,0.793,2.54261723020052e-139,"13","Hu.CD32"
"140",1.68194373019614e-119,0.83638794839901,0.908,0.703,2.18652684925498e-117,"13","Hu.CD13"
"141",4.74417921590195e-139,0.886143318232048,0.997,0.913,6.16743298067253e-137,"14","Hu.CD35"
"142",3.94748486132079e-110,0.369934806760978,1,0.987,5.13173031971703e-108,"14","Hu.CD58"
"143",1.48512731906922e-66,0.465695744028876,0.996,0.996,1.93066551478999e-64,"14","Hu.CD47"
"144",8.80163781417063e-21,-0.270982571313389,0.856,0.956,1.14421291584218e-18,"14","Hu.CD272"
"145",8.87831980680504e-16,-0.285077318708197,0.715,0.892,1.15418157488466e-13,"14","Hu.CD88"
"146",3.9800388468596e-10,-0.297915641074526,0.591,0.767,5.17405050091748e-08,"14","Hu.CD163"
"147",6.61082308388167e-10,-0.301104615046061,0.595,0.778,8.59407000904616e-08,"14","Hu.CD169"
"148",2.28473329903334e-06,-0.288480398070589,0.462,0.621,0.000297015328874334,"14","Hu.CD268"
"149",9.34957259287379e-06,-0.297014165449513,0.702,0.832,0.00121544443707359,"14","Hu.CD69"
"150",0.00758138032889396,-0.261823297796222,0.697,0.821,0.985579442756215,"14","Hu.CD49a"
"151",1.87579855197772e-224,1.83707923090626,0.959,0.757,2.43853811757104e-222,"15","Hu.FceRIa"
"152",7.81898949317415e-162,0.752734524762348,0.994,0.96,1.01646863411264e-159,"15","Hu.CD224"
"153",2.9405051614143e-126,0.774284870775308,0.976,0.867,3.82265670983859e-124,"15","Hu.CD274"
"154",1.09517919882908e-73,0.724060819771415,0.976,0.884,1.4237329584778e-71,"15","Hu.CD107a"
"155",9.6033394114097e-72,1.44260679854245,0.678,0.425,1.24843412348326e-69,"15","Hu.CD33"
"156",6.1580725989514e-71,0.552095649177705,0.994,0.971,8.00549437863682e-69,"15","Hu.CD82"
"157",1.76903172046096e-64,0.584070110123579,0.912,0.686,2.29974123659925e-62,"15","Hu.CLEC12A"
"158",3.36818576565057e-58,0.609374432084556,0.953,0.836,4.37864149534574e-56,"15","Hu.CD71"
"159",7.5255222643862e-50,1.08258399078759,0.685,0.534,9.78317894370207e-48,"15","Hu.CD22"
"160",3.24423927757367e-31,0.812818639239213,0.928,0.81,4.21751106084576e-29,"15","Hu.CD123"
"161",0,2.09629767931852,0.997,0.796,0,"16","Hu.CD73"
"162",3.46004871213992e-244,0.883880608861282,1,0.885,4.49806332578189e-242,"16","Hu.CD223"
"163",6.19491610875235e-213,0.916698694435704,1,0.866,8.05339094137805e-211,"16","Hu.CD274"
"164",7.9198952337292e-203,0.983621157271866,0.99,0.786,1.0295863803848e-200,"16","Hu.LOX.1"
"165",6.79891005372665e-185,0.903884173478829,0.991,0.835,8.83858306984465e-183,"16","Hu.CD185"
"166",5.28519274560484e-174,0.946679119744862,0.972,0.559,6.8707505692863e-172,"16","Hu.CD146"
"167",2.3995582884351e-161,0.908470104614264,0.987,0.772,3.11942577496563e-159,"16","Hu.CD169"
"168",9.22073532704236e-157,1.00968288694993,0.964,0.778,1.19869559251551e-154,"16","Hu.CD105-43A3"
"169",8.69848202650662e-152,0.91725095378535,0.973,0.734,1.13080266344586e-149,"16","Hu.CD303"
"170",8.55272726010846e-145,0.813170171951733,0.99,0.757,1.1118545438141e-142,"16","Hu.FceRIa"
"171",0,2.47432802748006,0.986,0.878,0,"17","Hu.CD16"
"172",9.74685939832292e-307,1.34442418559679,0.983,0.934,1.26709172178198e-304,"17","Hu.CD24"
"173",1.34154641685532e-283,2.16308569238115,0.973,0.685,1.74401034191192e-281,"17","Hu.CLEC12A"
"174",1.82365148121246e-259,1.49652986153263,0.994,0.913,2.3707469255762e-257,"17","Hu.CD35"
"175",7.8258342901692e-248,1.49188823488134,0.976,0.888,1.017358457722e-245,"17","Hu.CD88"
"176",4.94031627425604e-235,1.436458985087,0.992,0.902,6.42241115653286e-233,"17","Hu.CD101"
"177",6.03034316243267e-219,1.43901465002885,0.937,0.766,7.83944611116247e-217,"17","Hu.CD11b"
"178",1.73366815420944e-197,1.72150363259525,0.948,0.619,2.25376860047228e-195,"17","Hu.CD11c"
"179",1.12427719015038e-196,1.37785836330058,0.942,0.786,1.46156034719549e-194,"17","Hu.LOX.1"
"180",1.84575926375737e-193,1.31862593193018,0.934,0.705,2.39948704288458e-191,"17","Hu.CD13"
"181",2.18373328054323e-202,1.64420196259419,0.983,0.563,2.8388532647062e-200,"18","Hu.CD36"
