"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"82",0,1.20295785634535,0.809,0.645,0,"8","Hu.CD22"
"83",0,1.74524839276245,0.982,0.821,0,"8","Hu.CD19"
"84",0,1.48201322806785,0.903,0.751,0,"8","Hu.IgD"
"85",0,0.629752377278529,0.865,0.776,0,"8","Hu.CD196"
"86",0,1.10768670183944,0.938,0.865,0,"8","Hu.CD62L"
"87",0,0.652140145467251,0.934,0.862,0,"8","Hu.CD1c"
"88",0,0.712687492706725,0.97,0.905,0,"8","Hu.CD45RA"
"89",0,0.869995436941237,0.987,0.931,0,"8","Hu.CD20-2H7"
"90",0,0.842326195182381,0.992,0.939,0,"8","Hu.CD35"
"91",0,1.83533564142227,0.937,0.658,0,"9","Hu.CD36"
"92",0,1.42050992868032,0.977,0.826,0,"9","Hu.CD31"
"93",0,2.16460829577205,0.958,0.82,0,"9","Hu.CD62P"
"94",0,1.75988150857082,0.995,0.91,0,"9","Hu.CD146"
"95",0,1.12997081294688,0.964,0.883,0,"9","Hu.CD39"
"96",0,1.08931989488023,0.987,0.911,0,"9","Hu.CD49b"
"97",0,1.57571496197171,0.995,0.938,0,"9","Hu.CD73"
"98",0,0.98252351690732,0.991,0.956,0,"9","Hu.CD54"
"99",0,0.948878229622603,0.999,0.98,0,"9","Hu.CD49a"
"100",0,0.874819968737252,1,0.995,0,"9","HuMs.CD49f"
"101",0,1.83019027746554,0.937,0.661,0,"10","Hu.CD11c"
"102",0,1.25672039762002,0.763,0.555,0,"10","Hu.CD33"
"103",0,0.951949556417328,0.959,0.867,0,"10","Hu.CLEC12A"
"104",0,1.84310673344677,0.95,0.862,0,"10","Hu.CD1c"
"105",0,0.869254714127573,0.956,0.883,0,"10","Hu.CD39"
"106",0,0.73448030347792,0.978,0.946,0,"10","Hu.CD32"
"107",0,0.826613416191624,0.991,0.963,0,"10","Hu.HLA.DR"
"108",2.35257410199169e-228,0.789095396994978,0.729,0.565,3.0583463325892e-226,"10","Hu.CD328"
"109",5.26344168154447e-222,0.480232185657266,0.979,0.956,6.84247418600781e-220,"10","Hu.CD54"
"110",3.55344703315948e-176,0.508059155316988,0.87,0.794,4.61948114310732e-174,"10","Hu.CD86"
"111",0,1.7721144801602,0.971,0.66,0,"11","Hu.CD11c"
"112",0,0.870293916260144,0.757,0.555,0,"11","Hu.CD33"
"113",0,1.20532153999404,0.975,0.826,0,"11","Hu.CD31"
"114",0,1.45885344495378,0.997,0.866,0,"11","Hu.CLEC12A"
"115",0,0.67083549185446,0.9,0.793,0,"11","Hu.CD86"
"116",0,0.666206536386125,0.991,0.918,0,"11","Hu.CD11a"
"117",0,0.551661824505576,0.985,0.951,0,"11","Hu.CD16"
"118",5.96760445966822e-290,0.523968828861835,0.961,0.874,7.75788579756869e-288,"11","Hu.CD18"
"119",8.28265478875965e-186,0.726243551832582,0.724,0.565,1.07674512253875e-183,"11","Hu.CD328"
"120",3.46135661488925e-86,0.459964137815976,0.932,0.875,4.49976359935602e-84,"11","Hu.CD41"
"121",0,1.69611936675757,0.836,0.589,0,"12","Hu.CD7"
"122",0,1.31918070589911,0.782,0.564,0,"12","Hu.CD328"
"123",0,0.917661935391488,0.955,0.874,0,"12","Hu.CD18"
"124",0,1.18899664214373,0.989,0.919,0,"12","Hu.CD11a"
"125",0,1.05123586727476,0.993,0.944,0,"12","Hu.CD56"
"126",0,1.18834970463914,0.994,0.951,0,"12","Hu.CD335"
"127",0,1.21635051123985,0.994,0.956,0,"12","Hu.CD94"
"128",0,0.987559953625645,0.981,0.956,0,"12","Hu.CD54"
"129",0,0.919963528010865,0.991,0.973,0,"12","Hu.CD38-HIT2"
"130",0,0.949142315760756,0.996,0.986,0,"12","Hu.CD244"
"131",0,1.46684150326116,0.993,0.938,0,"13","Hu.CD73"
"132",0,0.362369110956279,0.954,0.982,0,"13","Hu.CD23"
"133",0,0.306024075095749,0.961,0.982,0,"13","Hu.CD267"
"134",0,0.400840772505622,0.989,0.981,0,"13","Hu.CD81"
"135",1.09813525173651e-280,0.328850487010964,0.999,0.995,1.42757582725746e-278,"13","Hu.CD29"
"136",5.98344839127982e-275,0.282984629565336,0.976,0.962,7.77848290866377e-273,"13","Hu.CD105-43A3"
"137",3.05910331636505e-187,0.332535560448182,0.876,0.87,3.97683431127456e-185,"13","Hu.CD40"
"138",3.43432594263858e-127,0.422966171918428,0.813,0.778,4.46462372543016e-125,"13","Hu.CD196"
"139",7.49237594362786e-108,0.313773385291544,0.823,0.792,9.74008872671621e-106,"13","Hu.CD64"
"140",1.10289453376958e-83,0.280499583381511,0.767,0.664,1.43376289390045e-81,"13","Hu.CD36"
"141",0,1.36921270349345,0.95,0.664,0,"14","Hu.CD11c"
"142",0,1.82711074791517,0.994,0.868,0,"14","Hu.CLEC12A"
"143",0,0.706268880595776,0.968,0.875,0,"14","Hu.CD18"
"144",0,1.51815959473637,0.999,0.939,0,"14","Hu.CD35"
"145",0,1.35900465482688,0.991,0.934,0,"14","Hu.CD11b"
"146",0,0.755902753526326,0.994,0.946,0,"14","Hu.CD32"
"147",0,2.1393892526617,0.996,0.951,0,"14","Hu.CD16"
"148",0,0.787231077445133,0.995,0.978,0,"14","Hu.CD88"
"149",0,0.883320133626899,0.998,0.982,0,"14","Hu.CD101"
"150",7.91853488284168e-244,0.724629836099093,0.942,0.865,1.02940953476942e-241,"14","Hu.CD62L"
"151",0,1.86377758134807,0.819,0.557,0,"15","Hu.CD33"
"152",0,1.23618636227791,0.975,0.9,0,"15","HuMs.CD44"
"153",0,1.210880919856,0.989,0.939,0,"15","Hu.FceRIa"
"154",0,0.907058440001792,1,0.995,0,"15","Hu.CD82"
"155",0,0.58680950241961,0.999,0.996,0,"15","Hu.CD224"
"156",3.53818151405341e-262,0.953466566274287,0.958,0.869,4.59963596826943e-260,"15","Hu.CLEC12A"
"157",1.60509306570804e-192,0.460256913647484,0.972,0.93,2.08662098542046e-190,"15","Hu.CD69"
"158",7.8454633941755e-141,0.757943579893795,0.762,0.649,1.01991024124281e-138,"15","Hu.CD22"
"159",1.06435102238436e-103,0.387539589841192,0.989,0.981,1.38365632909967e-101,"15","Hu.CD107a"
"160",1.06489965829724e-44,0.37496131033746,0.986,0.972,1.38436955578641e-42,"15","Hu.CD47"
"161",0,2.46565267931793,0.998,0.911,0,"16","Hu.CD146"
"162",0,0.612194058487583,0.997,0.97,0,"16","Hu.CD155"
"163",0,1.61790880505586,1,0.98,0,"16","Hu.CD49a"
"164",0,0.50903520084531,0.996,0.981,0,"16","Hu.CD127"
"165",0,1.1148144169044,1,0.995,0,"16","Hu.CD29"
"166",5.98235840325714e-234,0.341684062773621,0.993,0.981,7.77706592423428e-232,"16","Hu.CD81"
